turn_id,pause_index,p_eot
en__000,0,0.7841
en__000,1,0.2882
en__000,2,0.3105
en__000,3,0.3117
en__001,0,0.3356
en__001,1,0.3322
en__002,0,0.1662
en__002,1,0.4454
en__002,2,0.5064
en__002,3,0.7493
en__002,4,0.6693
en__002,5,0.7166
en__002,6,0.7577
en__003,0,0.5814
en__004,0,0.4994
en__004,1,0.6010
en__005,0,0.2019
en__005,1,0.2483
en__006,0,0.3645
en__006,1,0.8682
en__006,2,0.7269
en__007,0,0.2472
en__007,1,0.2756
en__007,2,0.2725
en__007,3,0.3002
en__007,4,0.3655
en__007,5,0.3498
en__007,6,0.4342
en__008,0,0.3423
en__008,1,0.7792
en__008,2,0.3793
en__008,3,0.7260
en__009,0,0.1593
en__010,0,0.2154
en__010,1,0.3009
en__011,0,0.4658
en__012,0,0.4576
en__012,1,0.1984
en__012,2,0.3068
en__013,0,0.4978
en__014,0,0.1163
en__014,1,0.6947
en__015,0,0.1319
en__015,1,0.3929
en__016,0,0.4393
en__016,1,0.5376
en__016,2,0.4849
en__017,0,0.5399
en__017,1,0.6864
en__018,0,0.2658
en__018,1,0.2652
en__018,2,0.5074
en__018,3,0.4132
en__018,4,0.2976
en__018,5,0.6606
en__019,0,0.6835
en__020,0,0.3405
en__020,1,0.3169
en__020,2,0.4864
en__021,0,0.4390
en__022,0,0.5912
en__022,1,0.3119
en__023,0,0.2827
en__023,1,0.2311
en__023,2,0.3972
en__024,0,0.1444
en__024,1,0.6565
en__024,2,0.7239
en__025,0,0.3752
en__026,0,0.5180
en__027,0,0.5864
en__027,1,0.8873
en__028,0,0.4801
en__028,1,0.6389
en__029,0,0.4033
en__029,1,0.3032
en__029,2,0.5468
en__030,0,0.5096
en__030,1,0.6055
en__030,2,0.4578
en__030,3,0.4436
en__030,4,0.7640
en__031,0,0.4234
en__032,0,0.2392
en__032,1,0.8468
en__033,0,0.2571
en__034,0,0.1996
en__034,1,0.6855
en__035,0,0.6662
en__035,1,0.3855
en__035,2,0.5220
en__036,0,0.1751
en__036,1,0.5112
en__036,2,0.1238
en__037,0,0.2438
en__037,1,0.2172
en__037,2,0.2563
en__037,3,0.5876
en__038,0,0.1868
en__038,1,0.1960
en__038,2,0.3571
en__038,3,0.4022
en__039,0,0.1602
en__039,1,0.2908
en__039,2,0.1803
en__040,0,0.3820
en__041,0,0.7380
en__042,0,0.2756
en__042,1,0.2046
en__042,2,0.3378
en__042,3,0.1184
en__042,4,0.4606
en__043,0,0.2661
en__044,0,0.2909
en__044,1,0.3986
en__044,2,0.9420
en__045,0,0.1405
en__045,1,0.5785
en__046,0,0.2364
en__046,1,0.2440
en__046,2,0.2662
en__047,0,0.3765
en__048,0,0.2289
en__048,1,0.4931
en__049,0,0.2133
en__049,1,0.5806
en__049,2,0.3795
en__049,3,0.4287
en__049,4,0.8713
en__050,0,0.2952
en__051,0,0.1058
en__051,1,0.4248
en__051,2,0.5313
en__052,0,0.2585
en__052,1,0.5281
en__052,2,0.7697
en__053,0,0.5749
en__053,1,0.4840
en__054,0,0.5250
en__054,1,0.6486
en__055,0,0.4037
en__056,0,0.5256
en__057,0,0.6948
en__058,0,0.5094
en__059,0,0.4288
en__059,1,0.3524
en__059,2,0.5651
en__060,0,0.3333
en__060,1,0.2244
en__061,0,0.6906
en__061,1,0.5591
en__061,2,0.6141
en__062,0,0.6760
en__063,0,0.4529
en__063,1,0.3230
en__064,0,0.4117
en__064,1,0.7833
en__065,0,0.3883
en__065,1,0.5423
en__065,2,0.5387
en__066,0,0.5588
en__066,1,0.4126
en__067,0,0.5202
en__067,1,0.6115
en__067,2,0.6891
en__068,0,0.1894
en__068,1,0.2014
en__068,2,0.3135
en__069,0,0.2164
en__069,1,0.5500
en__070,0,0.0953
en__070,1,0.0870
en__070,2,0.1970
en__070,3,0.2571
en__070,4,0.4341
en__070,5,0.4618
en__070,6,0.4005
en__071,0,0.5057
en__072,0,0.2657
en__073,0,0.1704
en__073,1,0.6559
en__074,0,0.8410
en__075,0,0.8517
en__076,0,0.5914
en__077,0,0.3364
en__077,1,0.2330
en__077,2,0.2058
en__078,0,0.1257
en__079,0,0.5994
en__079,1,0.6118
en__080,0,0.2194
en__080,1,0.1576
en__080,2,0.2197
en__080,3,0.1958
en__080,4,0.4599
en__080,5,0.6503
en__081,0,0.0592
en__081,1,0.2994
en__081,2,0.1531
en__081,3,0.2975
en__081,4,0.7382
en__082,0,0.4466
en__082,1,0.7169
en__083,0,0.5124
en__083,1,0.2293
en__083,2,0.6283
en__084,0,0.8489
en__085,0,0.3031
en__086,0,0.3033
en__086,1,0.0489
en__086,2,0.5156
en__087,0,0.1028
en__088,0,0.5392
en__088,1,0.5338
en__089,0,0.4002
en__089,1,0.2216
en__090,0,0.3619
en__090,1,0.5210
en__090,2,0.6802
en__090,3,0.4124
en__091,0,0.8649
en__091,1,0.4492
en__091,2,0.3893
en__091,3,0.7006
en__091,4,0.7601
en__091,5,0.8596
en__091,6,0.6362
en__091,7,0.7870
en__092,0,0.4187
en__092,1,0.2178
en__093,0,0.2506
en__093,1,0.2302
en__093,2,0.4334
en__093,3,0.4562
en__093,4,0.6274
en__094,0,0.4435
en__094,1,0.7146
en__095,0,0.1595
en__095,1,0.4346
en__095,2,0.2421
en__095,3,0.1875
en__095,4,0.7292
en__095,5,0.6660
en__096,0,0.4912
en__097,0,0.3558
en__097,1,0.2468
en__098,0,0.5875
en__099,0,0.2189
