turn_id,pause_index,p_eot
hi__000,0,0.1503
hi__000,1,0.3829
hi__000,2,0.5358
hi__001,0,0.4103
hi__001,1,0.5361
hi__002,0,0.6291
hi__003,0,0.3736
hi__004,0,0.8153
hi__005,0,0.2033
hi__005,1,0.8551
hi__006,0,0.2216
hi__006,1,0.2534
hi__006,2,0.6435
hi__007,0,0.3828
hi__007,1,0.4388
hi__007,2,0.6275
hi__007,3,0.6794
hi__007,4,0.5250
hi__007,5,0.8869
hi__008,0,0.4040
hi__009,0,0.5806
hi__010,0,0.3758
hi__010,1,0.0965
hi__010,2,0.3982
hi__010,3,0.8199
hi__011,0,0.6831
hi__011,1,0.4377
hi__011,2,0.7150
hi__012,0,0.1550
hi__012,1,0.3013
hi__012,2,0.6000
hi__012,3,0.6217
hi__012,4,0.3764
hi__012,5,0.5635
hi__013,0,0.3013
hi__014,0,0.2613
hi__014,1,0.5155
hi__014,2,0.5071
hi__014,3,0.6850
hi__014,4,0.7343
hi__014,5,0.7257
hi__015,0,0.5215
hi__016,0,0.4618
hi__017,0,0.3985
hi__017,1,0.4316
hi__018,0,0.4458
hi__018,1,0.6046
hi__018,2,0.7498
hi__019,0,0.2602
hi__019,1,0.6113
hi__019,2,0.8913
hi__019,3,0.6919
hi__019,4,0.5920
hi__020,0,0.6648
hi__020,1,0.8282
hi__021,0,0.5406
hi__022,0,0.1386
hi__022,1,0.1627
hi__022,2,0.3527
hi__022,3,0.2016
hi__022,4,0.4383
hi__022,5,0.2478
hi__022,6,0.7003
hi__022,7,0.8102
hi__023,0,0.7012
hi__024,0,0.8083
hi__025,0,0.1658
hi__025,1,0.2943
hi__025,2,0.3317
hi__026,0,0.2175
hi__027,0,0.1322
hi__027,1,0.7301
hi__028,0,0.3142
hi__028,1,0.6304
hi__029,0,0.2489
hi__029,1,0.5268
hi__029,2,0.7897
hi__029,3,0.7141
hi__030,0,0.9202
hi__031,0,0.0936
hi__031,1,0.6079
hi__032,0,0.4889
hi__032,1,0.7084
hi__033,0,0.6407
hi__033,1,0.4428
hi__033,2,0.1695
hi__034,0,0.6350
hi__034,1,0.7444
hi__034,2,0.4099
hi__035,0,0.8647
hi__036,0,0.4771
hi__036,1,0.6133
hi__036,2,0.6531
hi__036,3,0.6206
hi__036,4,0.7225
hi__036,5,0.7249
hi__036,6,0.8201
hi__037,0,0.5303
hi__037,1,0.0820
hi__037,2,0.8868
hi__038,0,0.2894
hi__038,1,0.1239
hi__038,2,0.3996
hi__038,3,0.7916
hi__039,0,0.5764
hi__040,0,0.2712
hi__040,1,0.2356
hi__040,2,0.5215
hi__041,0,0.4215
hi__041,1,0.6308
hi__042,0,0.2944
hi__042,1,0.4466
hi__043,0,0.7557
hi__043,1,0.5315
hi__044,0,0.2773
hi__044,1,0.5526
hi__045,0,0.5550
hi__045,1,0.5193
hi__046,0,0.3330
hi__046,1,0.2271
hi__046,2,0.5287
hi__047,0,0.3190
hi__048,0,0.5460
hi__049,0,0.7880
hi__050,0,0.4365
hi__051,0,0.4962
hi__051,1,0.5577
hi__051,2,0.6447
hi__052,0,0.5836
hi__053,0,0.1000
hi__053,1,0.2369
hi__053,2,0.4896
hi__054,0,0.6219
hi__054,1,0.8097
hi__055,0,0.0688
hi__055,1,0.4317
hi__056,0,0.5384
hi__057,0,0.1098
hi__057,1,0.7152
hi__058,0,0.6123
hi__058,1,0.8639
hi__059,0,0.3248
hi__059,1,0.1055
hi__059,2,0.3135
hi__060,0,0.7569
hi__060,1,0.5558
hi__061,0,0.1977
hi__061,1,0.8028
hi__062,0,0.2227
hi__063,0,0.0734
hi__063,1,0.1616
hi__063,2,0.2174
hi__063,3,0.7524
hi__064,0,0.3540
hi__064,1,0.2195
hi__064,2,0.9465
hi__064,3,0.3866
hi__064,4,0.8135
hi__065,0,0.6956
hi__066,0,0.0908
hi__066,1,0.3934
hi__066,2,0.5159
hi__067,0,0.6513
hi__068,0,0.8314
hi__069,0,0.5475
hi__069,1,0.4082
hi__069,2,0.1425
hi__069,3,0.2891
hi__069,4,0.2271
hi__069,5,0.5284
hi__070,0,0.3565
hi__070,1,0.4209
hi__071,0,0.6049
hi__071,1,0.4346
hi__071,2,0.2245
hi__072,0,0.6994
hi__072,1,0.5652
hi__073,0,0.2424
hi__073,1,0.6390
hi__073,2,0.3058
hi__073,3,0.4173
hi__073,4,0.7495
hi__073,5,0.7553
hi__074,0,0.7275
hi__074,1,0.7856
hi__075,0,0.7849
hi__075,1,0.5981
hi__076,0,0.3681
hi__077,0,0.2793
hi__077,1,0.0589
hi__077,2,0.5682
hi__078,0,0.4589
hi__078,1,0.5126
hi__078,2,0.3819
hi__078,3,0.8818
hi__079,0,0.0982
